Water level (m +NAP),Volume (Mm3),Area (m2)
10,55849,1500000
10.25,637750,2730000
10.5,1219674,3782576
10.75,2424250,4684442
11,3628844,6282542
11.25,5644800,7958986
11.5,7660828,10225879
11.75,10797800,12574372
12,13934931,14584457
12.25,18131900,16758900
12.5,22328990,18933372
12.75,27621400,20971150
13,32913964,23008853
13.25,39019000,24479522
13.5,45124174,25570886
13.75,51738400,26356100
14,58352777,27141257
14.25,65230000,27433600
14.5,72107515,27725857
14.75,79075400,27866100
15,86043292,28006307
15.25,93072700,28109900
15.5,100102145,28213472
